time,requests
0,1450332
1,1470780
2,1452791
3,1481163
4,1488013
5,1482611
6,1485633
7,1468724
8,1481377
9,1325327
10,1378319
11,1375699
12,1385390
13,1381060
14,1430633
15,1406657
16,1466670
17,1477111
18,1477985
19,1305411
20,1300020
21,1180530
22,778316
23,69448
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,963270
62,1554994
63,1423574
64,1539984
65,1550359
66,1570874
67,1565980
68,1545917
69,1561189
70,1565800
71,1556761
72,1566122
73,1568059
74,1560935
75,1567632
76,1563238
77,1569052
78,1517452
79,1198153
80,945503
81,947219
82,944786
83,630090
84,23057
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,364977
123,1561781
124,1566229
125,1561169
126,1563140
127,1573029
128,1564165
129,1560860
130,1563612
131,1564023
132,1554882
133,1565356
134,1558392
135,1563539
136,1564055
137,1562421
138,1553759
139,1564815
140,938360
141,871553
142,947911
143,942108
144,952203
145,417661
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,476541
184,1573819
185,1570037
186,1567607
187,1570727
188,1569267
189,1556996
190,1554612
191,1173258
192,946306
193,440830
Makespan
194018043428
Repartition at: 
Checkpoint times raw:
1,0,1670638894844908646,1670638932512860522,37667951876,400000040,0,10000001
2,0,1670638955726317309,1670638993901555189,38175237880,400000040,0,10000001
3,0,1670639017122850793,1670639054833533114,37710682321,400000040,0,10000001
Checkpoint times:
partition,avg-elapsed-time
0,37851290692

Checkpoint sizes:
partition,avg-size
0,37984624039

Crossborder requests executed:
num_partitions,num_requests
1,110000000
2,0
3,0
4,0
5,0
6,0
7,0
Requests per thread executed:
thread,num_requests
0,13745995
1,13752077
2,13749251
3,13753438
4,13748552
5,13757208
6,13752244
7,13741235
Checkpoint turns:
